"sep=,"
"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled","subrule_of","go_to_rule","req_screen_off","req_charging","req_silent","req_do_not_disturb","req_car_mode","prev_rule_timeout","priority_alert","probability","package_names"
"#ppn","none","✘ ▬▬▬▬ ஜ۩۞۩ஜ ▬▬▬▬ ✘\n    *_PANDUAN PENGGUNAAN_*\n✘ ▬▬▬▬ ஜ۩۞۩ஜ ▬▬▬▬ ✘\n\n*Bot ini diprogram hanya untuk:*\n➸ *Menjaga grup* <only group>\n➸ *Chat gabut* <personal & group>\n➸ *No maker & No media*\n```<CARI BOT LAIN AJA>```\n\nMasukkan bot ke grup? Only 10k\nChat owner/pembuat bot↓↓↓\nhttps://api.whatsapp.com/send?phone=6282211224927&text=Bang+mau+nyewa+Bot+Gembul+🙏🐦+ijin+yak\n\n⚠️ *PERATURAN* ⚠️\n➸ *No spam* <blok trial>\n➸ *No VC/TELP* <blok permanen>\n➸ *Gunakan dengan bijak*\n\nDonasi?↓↓↓\nwa.me/6285759022133\n```Donasi gak akan membuatmu miskin kawan:)```\n\n*_Dukungan kami dalam pembuatan bot gembul_*\n*_Agar lebih terupdate dan tahan lama_*\n*_Dengan melakukan donasi_*\n\n\n⚠️Aturan:\nJika bot tidak menjawab, artinya bot sedang offline.\nTerkadang, bot mengalami bug ketika diaktifkan,\nMengirim pesan asal²an, spam, dll\n\n⚠️Bot tidak memiliki nyawa dan pikiran, tetapi menggunakan algoritma dan pola kalimat, bot hanya membaca string,\nContoh:\n➸ * kabar* →berarti ""apa kabar//bagaimana kabarmu""\n➸ * Test//Test * →artinya pesan dapat diawali atau diakhiri dengan ""Test""\n*Ingat.!!!*\nGunakan bahasa Indonesia yang baku dan sesuai apa yang ada di menu yang sudah disiapkan.\n*""Kesalahan 1 huruf saja bot tidak bisa menjawab.""*\n\n*<@user>* Diisi dengan username Instagram yang valid, tanpa tanda “<” dan “>”\nContoh : *#fitnah @Its Tamz*\n\n*<Text>* Diisi dengan teks, author, dan theme, tanpa tanda “<” dan “>”\nContoh : *#bugreport bang+botnya+eror!*\n\n*<link grup>* Diisi dengan link group whatsapp yang valid, tanpa tanda “<” dan “>”\nContoh : *#join https://chat.whatsapp.com/GJi5NTBuVQuIWMSng5bNXH*\n\n*<query>* Diisi dengan text pertanyaan, tanpa tanda “<” dan “>”\nContoh : *#apakah Tama ganteng?*\n\n*<query>* Diisi dengan menu anime yg tersedia, tanpa tanda “<” dan “>”\nContoh : *#anime random*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#snk","none","✘ ▬▬▬▬ ஜ۩۞۩ஜ ▬▬▬▬ ✘\n  *_SYARAT DAN KETENTUAN_*\n✘ ▬▬▬▬ ஜ۩۞۩ஜ ▬▬▬▬ ✘\n\n1. Teks dan nama pengguna WhatsApp anda akan disimpan di dalam server selama bot aktif.\n\n2. Data anda akan dihapus ketika bot Offline.\n\n3. BOT tidak menyimpan gambar, video, file, audio, dan dokumen yang anda kirim.\n\n4. BOT tidak akan pernah meminta anda untuk memberikan informasi pribadi.\n\n5. Jika menemukan Bug/Error silahkan langsung lapor ke Owner bot.\n\n6. BOT tidak boleh digunakan untuk layanan yang bertujuan/berkontribusi dalam: \n    • seks / perdagangan manusia\n    • perjudian\n    • perilaku adiktif yang merugikan \n    • kejahatan\n    • kekerasan (kecuali jika diperlukan untuk melindungi keselamatan publik)\n    • pembakaran hutan / penggundulan hutan\n    • ujaran kebencian atau diskriminasi berdasarkan usia, jenis kelamin, identitas gender, ras, seksualitas, agama, kebangsaan.\n\n7. Dilarang keras melakukan SPAM ke bot, menelpon bot, dan mengirim pesan ke owner bot di luar jam kerja. Jika terindikasi melakukan hal yang tadi disebutkan, akan mendapat BANNED PERMANEN.\n\n8. Selalu ingat bahwa bot ini dalam proses pengembangan jadi diharapkan anda dapat memakluminya jika bot terdapat banyak kekurangan.\n\n9. Dan selalu ingat juga yang menggunakan bot ini bukan hanya anda/grup anda jadi saya memohon agar bersabar jika terjadinya delay. Serta gunakan fitur yang tersedia dengan seperlunya.\n\n10. Apapun yang anda perintah pada bot ini baik ketika menggunakan ataupun sesudahnya, OWNER TIDAK BERTANGGUNG JAWAB!\n\nTerima kasih!✨","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#status","none","Hai👋\nTerimakasih telah menggunakan TWNTYSVN BOT 💓.\n\nNama Bot : *TWNTYSVN BOT*\nStatus Bot : Online\nKomen : #menu\nVersi : 4.0\nPrefix : #\nDibuat oleh : *Its Tamz*\n\nInfo Bot :\n- *%reply_count_day%* Loaded messages\n- *%reply_count_groups%* Group chats\n- *%reply_count_contacts%* Personal chats\n- *%reply_count_overall%* Total chats\n\n🔰TWNTYSVN BOT 🔰","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#join *//buka tautan ini untuk bergabung ke grup whatsapp saya: *//👥 undangan untuk bergabung ke grup whatsapp saya//👥 undangan grup whatsapp","normal","```Link grup terdeteksi, Bot sedang mengirim link ke owner Bot```\nSilahkan tunggu sebentar!<#>⚠️Peringatan\nmaaf saat ini bot sedang dalam privasi Owner, jika anda ingin memasukan bot gembul digrup anda, maka anda wajib untuk donasi, silahkan ketik *_#donasi_* untuk mengetahui info² donasi agar bot tetap terjaga saat berada digrup.<#>Untuk Regis silahkan salin & isi daftar yg sudah disediakan oleh Bot untuk dikirim ke Owner Bot wa.me/6282211224927 silahkan tunggu 7 detik lagi.<#>Hai Tama👋\n\n(･ω･)\n\n*_Regis untuk join bot_* ✍︎\n*_Nama_* :\n*_Umur_* :\n*_Asal_* :\n*_L/P_* :\n*_Status_* :\n*_Alasan join_* :\n*_Nama grup_* :\n\nTeruntuk Owner bot saya minta izin untuk memasukkan bot ke dalam grup saya terima kasih.<#>silahkan salin & isi daftar diatas☝️\nuntuk dikirim ke Owner Bot wa.me/6282211224927 maka Bot akan segera masuk.","all","7","7","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#join*","normal","No detected link, invalid!\nSilahkan coba lagi nanti\nFormat: harus kasih link grup!\nContoh: #join https://chat.whatsapp.com/GJi5NTBuVQuIWMSng5bNXH\n\nIngat kasih spasi setelah *""#join!""*","single","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#iklan","none","╔═════❀ ❬ IKLAN ❭ ❀══════╗\n╠-❥ *Jual Csv Bot & Buat Bot*\n╠-❥ *40K Bisa Buat Bot*\n╠════════════════════\n╠-❥ *Keuntungan Buat Bot:*\n╠-❥ *1.Bisa Jadi Owner*\n╠-❥ *2.Custom Nama Bot*\n╠-❥ *3.Desain Menu Sesuai Selera*\n╚════════════════════╝\n*❀Harga Terjangkau❀*\n*╔═══❀ ❬ INFORMATION ❭ ❀══╗*\n*╠-❥ Jika Minat Iklan Di Atas*\n*╠-❥ Hubungi No Di Bawah*\n*╠-❥ Pembayaran bisa melalui*\n*╠-❥ Pulsa Indosat*\n*╚═══════════════════╝*\nNo: https://wa.me/6282211224927?text=beli+bot","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"beli bot","none","Hallo Kak 👋\n\n*Terimakasih Sudah Mengklik Iklan Kami😊*\n\n*⚠️List Version:*\n\n*Version: 1.0✅Yes* Tersedia\n*Version: 2.0❎No* sold out\n*Version: 3.0❎No* sold out\n*Version: 4.0❎No* Hanya Owner BOT!\nVersi lama (buat belajar) 5k pulsa no uang\nVersi lama (full fitur) 10k pulsa no uang\n\n*📢Jika Minat Salah Satu Versi Di Atas Tinggal Klik Link Yg Ada Di Bawah Ini:*\n\n📍Buat Bot: \n*https://wa.me/6282211224927?text=buat1.0*\n\n📍Beli SC Bot:\n*https://wa.me/6282211224927?text=belisc1.0*\n\n*Kami Otomatis Kami Akan Secepatnya Menghubungi Owner Kami✨*\nInfo lebih lanjut chat↓↓↓\nwa.me/6282211224927\n\n*🔰TWNTYSVN BOT🔰*\n\n*#Terimaksih*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"buat1.0","none","*Ok Terimakasih Kak😊*\n\n*💵Pembayaran Via: Pulsa Indosat*\n\n*📱 Pembayaran Bisa Ke Nomor Dibawah:*\n\nNo: *0857-5902-2133*\n\n*📝Jumlah Pembayaran: 40K*\n\nJika ingin membeli harga 40k (pulsa no uang), mahal? Full fitur ngab, ng🧠!\n\n20k (only script), 40k tersedia aplikasi, tutorial, dan owner, bisa design sesuai selera ""Pembayaran bisa melalui pulsa"" note: tidak menerima uang!\nOkeh sampai disini dulu sekian\nTerima gaji🙏🐦\n\n*📢Kami Akan Secepatnya Menghubungi Owner Kami*\nInfo lebih lanjut chat↓↓↓\nwa.me/6282211224927\n\n*Terimakasih Sudah Minat Iklan Kami*\n\n*🔰TWNTYSVN BOT🔰*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"belisc1.0","none","*Ok Terimakasih Kak😊*\n\n*💵Pembayaran Via: Pulsa Indosat*\n\n*📱 Pembayaran Bisa Ke Nomor Dibawah:*\n\nNo: *0857-5902-2133*\n\n*📝Jumlah Pembayaran: 20K*\n\nJika ingin membeli harga 40k (pulsa no uang), mahal? Full fitur ngab, ng🧠!\n\n20k (only script), 40k tersedia aplikasi, tutorial, dan owner, bisa design sesuai selera ""Pembayaran bisa melalui pulsa"" note: tidak menerima uang!\nOkeh sampai disini dulu sekian\nTerima gaji🙏🐦\n\n*📢Kami Akan Secepatnya Menghubungi Owner Kami*\nInfo lebih lanjut chat↓↓↓\nwa.me/6282211224927\n\n*Terimakasih Sudah Minat Iklan Kami*\n\n*🔰TWNTYSVN BOT🔰*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"buat2.0","none","*❎Maaf Version 2.0 Sedang Tidak Ada*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"belisc2.0","none","*❎Maaf Version 2.0 Sedang Tidak Ada*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"buat3.0","none","*❎Maaf Version 3.0 Sedang Tidak Ada*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"belisc3.0","none","*❎Maaf Version 3.0 Sedang Tidak Ada*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"belisc4.0","none","*❎Maaf Version 4.0 Sedang Tidak Ada*\n\nVersi ini hanya untuk Owner BOT! Jika ingin membeli harga 40k (pulsa no uang), mahal? Full fitur ngab, ng🧠!\n\n20k (only script), 40k tersedia aplikasi, tutorial, dan owner, bisa design sesuai selera ""Pembayaran bisa melalui pulsa"" note: tidak menerima uang!\nOkeh sampai disini dulu sekian\nTerima gaji🙏🐦","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"buat4.0","none","*❎Maaf Version 4.0 Sedang Tidak Ada*\n\nVersi ini hanya untuk Owner BOT! Jika ingin membeli harga 40k (pulsa no uang), mahal? Full fitur ngab, ng🧠!\n\n20k (only script), 40k tersedia aplikasi, tutorial, dan owner, bisa design sesuai selera ""Pembayaran bisa melalui pulsa"" note: tidak menerima uang!\nOkeh sampai disini dulu sekian\nTerima gaji🙏🐦","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#asalmulabot","none","```CERITA DARI ""Its Tamz"" OWNER TWNTYSVN BOT```\n\nJadi gini brader,  nama TWNTYSVN merupakan sebuah singkatan dari Twenty Seven (Dua puluh tujuh) yang menandakan bahwa tanggal lahir owner adalah tanggal 27.\n\nSebenernya nama TWNTYSVN dipilih karena awalnya nama TWNTYSVN ini adalah nama brand buatan sendiri yang tadinya dipake buat kaos tapi apa daya dengan budget saya yg gak ada sama sekali, jadi hanya angan angan saja.\n\nDan saya pakai sebagai nama bot agar saya termotivasi untuk terus berjuang demi meraih cita² dari dulu yaitu bikin brand sendiri pake nama TWNTYSVN.\n\n```CERITA INI FAKTA/ASLI GAK MENGADA² TAMA SENDIRI YG NGETIK GAK COPY PASTE ORANG/GOOGLE KALO BISA BANTU VIRAL KAN BOT INI SAMA BANTU DONASI MOHON BANTUANNYA, MAKASIH 🙏```\n\n*DAN BOT ITU GUE YG KUCING MATI WAKTU ITU DIBIKIN BOT* 🙂\n\nBantu donasi yah gan biar TAMA seneng, \nYg gak donasi semoga selau diberi hidayah dan kesehatan🙏🐦","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#bugreport *","normal","Terimakasih atas masukan Anda, laporan palsu/main² tidak akan ditanggapi.\n\nSilahkan ulangi ulasan Anda yang format untuk dikirim ke Owner bot ganti spasi menggunakan tanda ""+""\n_Min 3 kata max seterusnya..._\nContoh: Bang+Botnya+eror\n\nTerimakasih telah menggunakan TWNTYSVN BOT 💓.","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#bugreport*","normal","No detected text, invalid!\nSilahkan coba lagi nanti\nFormat: harus kasih text laporan!\n_Min 3 kata max seterusnya..._\nContoh: #bugreport Bang+Botnya+eror\n\nIngat kasih spasi setelah *""#bugreport!""*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"*+*+*","normal","Terimakasih atas masukan Anda, laporan palsu/main² tidak akan ditanggapi.\n\nUntuk lapor bug/eror silahkan tekan link dibawah ini ↓↓↓\nhttps://wa.me/6282211224927?text=%message%","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#owner","none","Bot ngebug? Ngirim pesan asal²an? Atau ingin donasi? Chat aja disini↓↓↓\nhttps://wa.me/6282211224927?text=Hai+Abang+ganteng:v\n\nAdmin? : *Its Tamz*\n\nSilahkan berikan masukan Anda ke owner bot, agar dapat informasi yg menarik & lebih baik.\n\nTerimakasih telah menggunakan TWNTYSVN BOT 💓.<#>☝️my Owner ngab no alay!🐦🤙","all","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#apakah *","normal","➸ *Perintah* : <%message%>\n➸ *Jawaban* : <iya><#>➸ *Perintah* : <%message%>\n➸ *Jawaban* : <tidak>","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#bisakah *","normal","➸ *Perintah* : <%message%>\n➸ *Jawaban* : <bisa><#>➸ *Perintah* : <%message%>\n➸ *Jawaban* : <tidak>","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#kapankah *","normal","➸ *Perintah* : <%message%>\n➸ *Jawaban* : <sekarang><#>➸ *Perintah* : <%message%>\n➸ *Jawaban* : <nanti><#>➸ *Perintah* : <%message%>\n➸ *Jawaban* : <besok><#>➸ *Perintah* : <%message%>\n➸ *Jawaban* : <fitur bot kerang tidak mengetahui>","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#loli","none","```BERIKUT ADALAH REKOMENDASI LOLI YANG ADA DI FITUR TWNTYSVN BOT```\n\n1• Kanna\n2• Filo\n3• Shiro\n4• Kyouka Izumi\n5• Lily Hoshikawa\n6• Aisaka Taiga\n7• Sagiri Izumi\n8• Isla\n9• Krul Tepes\n10• Kesshouban\n11• Sakura\n12• Yui\n13• Fuko\n14• Anko Kitashirakawa\n15• Hinami\n16• Renge Miyauchi\n17• Sara\n18• Tsukasa Hiiragi\n19• Tachibana Kanade\n20• Tsumiki\n21• Yazawa Nico\n22• Menma\n23• Kaede\n24• Rikka\nDan masih banyak lagi...\n\nTerima kasih telah menggunakan TWNTYSVN BOT.💓","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#shota","none","Maaf saat ini menu shota sedang Maintenace,\nAkan tersedia lagi dimasa mendatang!","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
